claim_id,policy_start_date,claim_date,city,policy_type,sales_channel,vehicle_type,customer_age,annual_premium,claim_amount,past_claims_count,days_since_policy_start,documents_submitted,is_fraud,policy_tenure_days,claim_ratio,risk_score
CL081664,2024-11-03,2024-12-12,Ahmedabad,Motor,Website,Unknown,26.0,7755.0,47609.0,2.0,173.0,3.0,1,39.0,6.139136041263701,178.0
CL208021,2024-05-04,2024-10-01,Bengaluru,Health,App,Unknown,25.0,4920.0,49455.0,0.0,0.0,6.0,0,150.0,10.051829268292684,6.0
CL042322,2024-09-17,2024-10-01,Ahmedabad,Travel,Partner,Unknown,55.0,8940.0,0.0,0.0,7.0,3.0,0,14.0,0.0,10.0
CL088413,2024-05-10,2025-02-27,Delhi,Home,Partner,Unknown,46.0,9802.0,56950.0,1.0,0.0,1.0,0,293.0,5.810038767598449,2.0
CL238299,2023-12-15,2024-10-01,Kolkata,Travel,Agent,Unknown,38.0,9131.0,7164.0,3.0,0.0,3.0,0,291.0,0.7845800021903406,6.0
CL000174,2023-09-24,2025-02-07,Bengaluru,Travel,Agent,Unknown,59.0,10776.0,56444.0,3.0,278.0,2.0,1,502.0,5.237936154417223,283.0
CL271092,2024-09-17,2024-10-01,Chennai,Travel,Website,Unknown,32.0,60000.0,69293.0,0.0,73.0,3.0,0,14.0,1.1548833333333333,76.0
CL209681,2024-10-01,2025-12-23,Chennai,Home,Website,Unknown,32.0,8831.0,25879.0,0.0,108.0,2.0,1,448.0,2.9304722002038273,110.0
CL014808,2024-08-08,2024-10-01,Mumbai,Travel,Website,Unknown,29.0,9719.0,82287.0,0.0,72.0,3.0,1,54.0,8.466611791336558,75.0
CL120996,2024-10-01,2025-04-12,Pune,Home,Agent,Unknown,50.0,8434.0,36324.0,2.0,88.0,4.0,0,193.0,4.306853213184729,94.0
CL290095,2024-02-13,2024-11-07,Mumbai,Travel,App,Unknown,48.0,9950.0,29888.0,1.0,203.0,3.0,1,268.0,3.003819095477387,207.0
CL081393,2023-07-04,2024-10-01,Mumbai,Travel,Website,Unknown,37.0,6634.0,5690.0,3.0,144.0,4.0,1,455.0,0.85770274344287,151.0
CL000528,2024-10-01,2025-03-14,Kolkata,Motor,App,Bike,23.0,580.0,0.0,2.0,150.0,4.0,1,164.0,0.0,156.0
CL019620,2024-10-01,2025-06-02,Bengaluru,Health,App,Unknown,52.0,4365.0,27751.0,2.0,200.0,5.0,1,244.0,6.357617411225658,207.0
CL036103,2024-09-17,2024-10-01,Chennai,Motor,Partner,Bike,34.0,9049.0,1739.0,1.0,0.0,3.0,0,14.0,0.1921759310421041,4.0
CL161093,2024-08-01,2024-09-17,Mumbai,Travel,App,Unknown,42.0,12086.0,53170.0,0.0,0.0,3.0,0,47.0,4.399304980969717,3.0
CL095792,2023-12-24,2025-03-03,Pune,Travel,Agent,Unknown,53.0,6893.0,1646.0,1.0,800.0,5.0,1,435.0,0.2387929783838677,806.0
CL133070,2024-10-01,2024-11-13,Ahmedabad,Home,App,Unknown,41.0,9853.0,51231.0,2.0,165.0,4.0,1,43.0,5.1995331371155995,171.0
CL276894,2023-10-07,2024-03-08,Hyderabad,Travel,Partner,Unknown,47.0,8417.0,25142.0,1.0,185.0,3.0,1,153.0,2.9870500178210766,189.0
CL081029,2024-10-01,2025-03-07,Ahmedabad,Travel,Website,Unknown,65.0,5763.0,78854.0,0.0,128.0,7.0,1,157.0,13.682804095089363,135.0
CL065622,2024-09-30,2024-10-01,Delhi,Travel,Agent,Unknown,29.0,3384.0,53518.0,12.0,323.0,2.0,1,1.0,15.81501182033097,337.0
CL204015,2025-07-01,2025-07-19,Jaipur,Motor,Agent,Unknown,34.0,7297.0,48487.0,0.0,106.0,1.0,0,18.0,6.644785528299301,107.0
CL254984,2023-06-04,2024-08-09,Chennai,Travel,Agent,Unknown,40.0,8940.0,54555.0,1.0,162.0,3.0,1,432.0,6.102348993288591,166.0
CL250138,2024-09-17,2024-10-01,Ahmedabad,Health,App,Unknown,38.0,13602.0,39667.0,3.0,10.0,5.0,0,14.0,2.9162623143655346,18.0
CL055753,2023-08-25,2024-10-01,Ahmedabad,Health,Agent,Unknown,34.0,12507.0,70315.0,3.0,74.0,3.0,1,403.0,5.622051651075398,80.0
CL171002,2024-10-01,2025-06-19,Delhi,Home,Website,Unknown,33.0,6062.0,63863.0,0.0,298.0,5.0,1,261.0,10.534971956450017,303.0
CL223745,2024-09-17,2024-10-01,Ahmedabad,Home,Partner,Unknown,38.0,9275.0,70042.0,1.0,64.0,4.0,0,14.0,7.551698113207547,69.0
CL187240,2024-10-01,2025-05-14,Ahmedabad,Motor,Partner,Unknown,54.0,6221.0,91691.0,12.0,67.0,5.0,1,225.0,14.738948722070406,84.0
CL155055,2024-09-13,2024-10-01,Delhi,Health,Agent,Unknown,21.0,20720.0,50323.0,2.0,55.0,0.0,0,18.0,2.428716216216216,57.0
CL023756,2024-09-26,2024-10-01,Kolkata,Motor,Website,Unknown,39.0,11898.0,0.0,1.0,72.0,2.0,1,5.0,0.0,75.0
CL249127,2024-05-04,2024-10-01,Delhi,Motor,Partner,Car,40.0,10659.0,61303.0,0.0,175.0,5.0,1,150.0,5.751289989680083,180.0
CL200453,2024-08-27,2024-10-01,Jaipur,Health,Website,Unknown,62.0,7292.0,98506.0,1.0,354.0,15.0,1,35.0,13.508776741634668,370.0
CL198799,2024-10-01,2025-06-06,Pune,Motor,App,Car,40.0,3559.0,48712.0,0.0,178.0,6.0,1,248.0,13.686990727732509,184.0
CL028267,2024-03-20,2024-10-01,Kolkata,Travel,Agent,Unknown,29.0,4433.0,79978.0,3.0,0.0,3.0,0,195.0,18.04150688021656,6.0
CL225386,2023-08-13,2024-10-01,Ahmedabad,Travel,Website,Unknown,37.0,3840.0,45101.0,2.0,119.0,2.0,0,415.0,11.745052083333333,123.0
CL275502,2024-01-09,2024-10-01,Kolkata,Motor,App,Bike,42.0,12183.0,0.0,2.0,119.0,5.0,0,266.0,0.0,126.0
CL159554,2023-11-10,2025-06-12,Pune,Travel,App,Unknown,44.0,8940.0,51601.0,1.0,122.0,5.0,1,580.0,5.771923937360179,128.0
CL225977,2024-09-01,2024-10-01,Bengaluru,Motor,Website,Unknown,55.0,4219.0,94826.0,0.0,97.0,4.0,1,30.0,22.47594216639014,101.0
CL208799,2023-12-04,2024-10-01,Bengaluru,Home,App,Unknown,24.0,7916.0,40570.0,2.0,151.0,1.0,1,302.0,5.125063163213745,154.0
CL272670,2024-01-12,2024-10-01,Delhi,Home,Website,Unknown,45.0,5209.0,66201.0,1.0,41.0,3.0,1,263.0,12.708965252447687,45.0
CL224475,2024-10-01,2025-04-20,Pune,Home,Agent,Unknown,45.0,13288.0,62112.0,1.0,209.0,4.0,1,201.0,4.674292594822396,214.0
CL056153,2023-07-30,2024-10-01,Hyderabad,Travel,Website,Unknown,51.0,12811.0,10053.0,1.0,146.0,5.0,1,429.0,0.7847162594645227,152.0
CL076352,2024-01-11,2024-12-19,Chennai,Motor,Agent,Bike,44.0,13435.0,48141.0,1.0,140.0,1.0,1,343.0,3.583252698176405,142.0
CL169981,2024-03-22,2024-10-01,Kolkata,Travel,Agent,Unknown,40.0,8534.0,33657.0,1.0,125.0,3.0,1,193.0,3.943871572533396,129.0
CL097116,2024-10-01,2024-10-05,Kolkata,Home,Website,Unknown,24.0,7021.0,49074.0,1.0,21.0,0.0,0,4.0,6.9896026207093005,22.0
CL202818,2024-09-17,2024-10-01,Mumbai,Health,Agent,Unknown,47.0,12370.0,55644.0,0.0,162.0,2.0,1,14.0,4.498302344381568,164.0
CL237126,2024-01-05,2024-10-01,Ahmedabad,Travel,Agent,Unknown,41.0,10065.0,143196.0,0.0,163.0,4.0,1,270.0,14.227123695976156,167.0
CL268113,2024-10-01,2025-07-05,Hyderabad,Health,Website,Unknown,48.0,5752.0,58016.0,1.0,800.0,1.0,1,277.0,10.086230876216968,802.0
CL058561,2023-07-26,2025-02-09,Pune,Home,Partner,Unknown,52.0,8569.0,29327.0,1.0,79.0,2.0,1,564.0,3.4224530283580346,82.0
CL289689,2024-10-01,2025-05-14,Mumbai,Motor,Website,Bike,20.0,11239.0,73480.0,1.0,114.0,2.0,1,225.0,6.537948216033455,117.0
CL103697,2024-10-01,2025-12-29,Mumbai,Motor,Partner,Bike,36.0,8940.0,64746.0,1.0,132.0,2.0,1,454.0,7.242281879194631,135.0
CL299975,2024-10-01,2025-05-04,Mumbai,Motor,App,Unknown,42.0,4924.0,38011.0,1.0,39.0,6.0,1,215.0,7.719536961819659,46.0
CL021399,2023-06-07,2023-09-25,Mumbai,Motor,Website,Bike,30.0,11826.0,59754.0,0.0,157.0,1.0,1,110.0,5.052765093860985,158.0
CL181608,2024-02-05,2024-08-06,Bengaluru,Motor,Agent,Unknown,43.0,8209.0,42200.0,3.0,163.0,3.0,1,183.0,5.140699232549641,169.0
CL011352,2024-12-15,2025-12-11,Kolkata,Health,Partner,Unknown,34.0,8459.0,61161.0,2.0,0.0,4.0,1,361.0,7.230287267998581,6.0
CL196857,2023-12-28,2024-10-01,Pune,Travel,Website,Unknown,23.0,4945.0,36734.0,0.0,104.0,1.0,1,278.0,7.428513650151668,105.0
CL280647,2023-07-08,2023-08-10,Delhi,Travel,Website,Unknown,31.0,0.0,53715.0,0.0,151.0,15.0,0,33.0,5.150936649828692,166.0
CL215721,2023-11-16,2025-06-09,Bengaluru,Travel,Agent,Unknown,41.0,11856.0,56030.0,3.0,270.0,0.0,1,571.0,4.725877192982456,273.0
CL165654,2023-06-18,2025-06-06,Kolkata,Travel,Agent,Unknown,54.0,9042.0,26116.0,0.0,155.0,2.0,0,719.0,2.8882990488829905,157.0
CL205207,2023-10-17,2024-10-01,Pune,Home,App,Unknown,26.0,7335.0,33140.0,0.0,163.0,3.0,1,350.0,4.518064076346285,166.0
CL125444,2024-07-18,2024-10-01,Hyderabad,Travel,App,Unknown,40.0,5723.0,100964.0,2.0,210.0,5.0,1,75.0,17.641796260702428,217.0
CL284443,2023-06-11,2024-10-01,Mumbai,Home,App,Unknown,28.0,11080.0,46552.0,0.0,152.0,6.0,1,478.0,4.2014440433213,158.0
CL164807,2024-04-18,2024-10-01,Bengaluru,Motor,Agent,Bike,31.0,5769.0,31273.0,0.0,450.0,6.0,1,166.0,5.420870168140059,456.0
CL043532,2024-06-04,2024-10-01,Pune,Health,Website,Unknown,27.0,8940.0,93236.0,2.0,27.0,4.0,1,119.0,10.429082774049217,33.0
CL115795,2023-05-11,2025-10-08,Mumbai,Motor,App,Unknown,51.0,12882.0,120117.0,2.0,248.0,3.0,1,881.0,9.324406148113647,253.0
CL297751,2024-10-01,2025-09-16,Bengaluru,Home,App,Unknown,18.0,12169.0,42521.0,0.0,177.0,3.0,1,350.0,3.494206590516887,180.0
CL157220,2025-04-01,2025-12-04,Delhi,Motor,Website,Car,48.0,6377.0,57939.0,1.0,75.0,3.0,0,247.0,9.08562019758507,79.0
CL149598,2024-10-01,2024-10-19,Jaipur,Travel,App,Unknown,43.0,7977.0,49725.0,0.0,219.0,1.0,1,18.0,6.233546446032343,220.0
CL066245,2024-09-23,2024-10-01,Ahmedabad,Travel,Website,Unknown,36.0,12001.0,23309.0,2.0,134.0,4.0,1,8.0,1.9422548120989918,140.0
CL076183,2024-10-01,2025-09-25,Jaipur,Motor,Partner,Car,45.0,15711.0,88859.0,1.0,213.0,4.0,1,359.0,5.655846222391955,218.0
CL289499,2025-05-26,2025-08-01,Ahmedabad,Motor,Website,Car,42.0,8053.0,59785.0,2.0,220.0,5.0,1,67.0,7.423941388302496,227.0
CL076069,2024-07-26,2025-12-01,Chennai,Home,App,Unknown,56.0,5558.0,53143.0,1.0,129.0,4.0,1,493.0,9.561532925512774,134.0
CL142147,2024-04-18,2024-10-01,Ahmedabad,Motor,Agent,Bike,45.0,3042.0,47723.0,0.0,231.0,3.0,1,166.0,15.688034188034187,234.0
CL244702,2024-10-01,2024-11-15,Hyderabad,Home,Partner,Unknown,50.0,3185.0,9778.0,0.0,121.0,2.0,1,45.0,3.070015698587127,123.0
CL185157,2024-04-01,2024-10-01,Delhi,Home,Partner,Unknown,59.0,15529.0,52033.0,1.0,232.0,4.0,1,183.0,3.350698692768369,237.0
CL202804,2024-10-01,2025-08-15,Jaipur,Travel,Agent,Unknown,37.0,7127.0,64228.0,0.0,4.0,4.0,0,318.0,9.011926476778449,8.0
CL171335,2023-07-24,2024-10-01,Delhi,Motor,App,Bike,18.0,9018.0,101590.0,0.0,149.0,0.0,1,435.0,11.265247283211355,149.0
CL154377,2024-10-01,2025-06-18,Bengaluru,Home,Agent,Unknown,37.0,7590.0,80146.0,0.0,119.0,3.0,1,260.0,10.559420289855073,122.0
CL105781,2024-07-26,2024-10-01,Pune,Health,Agent,Unknown,64.0,9106.0,14038.0,0.0,211.0,4.0,1,67.0,1.5416209092905777,215.0
CL133585,2024-10-01,2025-04-21,Mumbai,Travel,Partner,Unknown,39.0,3894.0,51387.0,0.0,70.0,3.0,1,202.0,13.196456086286595,73.0
CL037569,2024-01-15,2024-10-01,Chennai,Travel,Partner,Unknown,36.0,12875.0,42388.0,3.0,265.0,2.0,1,260.0,3.292271844660194,270.0
CL196196,2024-10-01,2025-05-19,Chennai,Motor,Partner,Unknown,52.0,4105.0,20050.0,1.0,188.0,7.0,1,230.0,4.884287454323995,196.0
CL010592,2024-09-17,2024-11-12,Kolkata,Health,App,Unknown,44.0,5087.0,63626.0,0.0,0.0,0.0,0,56.0,12.507568311381954,0.0
CL104695,2023-09-29,2024-10-01,Hyderabad,Home,App,Unknown,64.0,10265.0,57276.0,2.0,138.0,3.0,1,368.0,5.579736970287384,143.0
CL106952,2024-10-01,2025-11-14,Chennai,Travel,Agent,Unknown,29.0,14445.0,97742.0,2.0,112.0,5.0,1,409.0,6.766493596400139,119.0
CL009083,2024-08-23,2024-10-01,Chennai,Health,Partner,Unknown,32.0,14660.0,0.0,0.0,119.0,3.0,0,39.0,0.0,122.0
CL035486,2024-09-14,2025-08-12,Bengaluru,Motor,Partner,Car,42.0,8204.0,51062.0,1.0,185.0,5.0,1,332.0,6.224037055095075,191.0
CL182636,2023-09-08,2025-01-05,Kolkata,Motor,Website,Unknown,27.0,1683.0,61356.0,3.0,97.0,2.0,1,485.0,36.45632798573975,102.0
CL003803,2024-09-17,2025-05-07,Delhi,Home,Agent,Unknown,42.0,4368.0,300000.0,0.0,164.0,2.0,1,232.0,68.68131868131869,166.0
CL138457,2023-12-04,2024-10-01,Hyderabad,Home,Website,Unknown,28.0,11263.0,45521.0,1.0,69.0,4.0,1,302.0,4.041640770665009,74.0
CL204576,2024-09-28,2025-06-04,Delhi,Travel,App,Unknown,52.0,9432.0,65110.0,1.0,144.0,2.0,1,249.0,6.903095843935539,147.0
CL033237,2023-11-23,2024-10-01,Mumbai,Health,Website,Unknown,33.0,10268.0,76413.0,1.0,262.0,5.0,1,313.0,7.441858200233736,268.0
CL012221,2024-05-19,2024-10-01,Chennai,Travel,Website,Unknown,25.0,13018.0,87093.0,2.0,0.0,1.0,0,135.0,6.690198187125518,3.0
CL298625,2023-02-07,2024-06-17,Kolkata,Health,Partner,Unknown,51.0,60000.0,0.0,1.0,27.0,1.0,0,496.0,0.0,29.0
CL009288,2024-10-01,2025-12-23,Pune,Travel,Website,Unknown,18.0,60000.0,41427.0,0.0,94.0,2.0,0,448.0,0.69045,96.0
CL094913,2023-12-25,2024-04-11,Ahmedabad,Travel,Agent,Unknown,52.0,8940.0,13013.0,2.0,164.0,0.0,1,108.0,1.455592841163311,166.0
CL122572,2024-10-01,2025-05-03,Pune,Motor,App,Car,51.0,13831.0,44506.0,0.0,309.0,3.0,1,214.0,3.217843973682308,312.0
CL273961,2024-04-20,2024-10-01,Ahmedabad,Home,Partner,Unknown,46.0,8292.0,71279.0,1.0,286.0,4.0,1,164.0,8.596116739025566,291.0
CL216522,2024-04-20,2024-10-01,Hyderabad,Travel,App,Unknown,21.0,13673.0,51229.0,0.0,242.0,4.0,1,164.0,3.7467271264535946,246.0
CL227091,2024-06-20,2024-10-01,Ahmedabad,Motor,Agent,Unknown,54.0,3687.0,21355.0,0.0,0.0,2.0,0,103.0,5.791971792785462,2.0
CL281826,2024-03-04,2025-07-27,Kolkata,Health,Agent,Unknown,40.0,3861.0,89203.0,4.0,77.0,3.0,1,510.0,23.103600103600105,84.0
CL125955,2023-02-09,2024-05-05,Jaipur,Health,Partner,Unknown,58.0,14801.0,42131.0,1.0,118.0,4.0,0,451.0,2.846496858320384,123.0
CL056628,2025-06-01,2025-07-08,Jaipur,Travel,App,Unknown,42.0,2264.0,83730.0,1.0,0.0,3.0,0,37.0,36.98321554770318,4.0
CL061026,2023-12-21,2024-12-11,Jaipur,Travel,Agent,Unknown,41.0,14500.0,40108.0,1.0,87.0,4.0,1,356.0,2.7660689655172415,92.0
CL125717,2024-10-01,2024-12-18,Jaipur,Motor,Agent,Car,40.0,11279.0,300000.0,1.0,97.0,0.0,1,78.0,26.5981026686763,98.0
CL282968,2024-07-05,2025-07-24,Delhi,Travel,Partner,Unknown,47.0,5887.0,110522.0,1.0,100.0,2.0,0,384.0,18.773908612196365,103.0
CL157525,2023-06-20,2024-04-11,Pune,Travel,App,Unknown,37.0,8940.0,7431.0,0.0,217.0,3.0,1,296.0,0.8312080536912752,220.0
CL017853,2023-12-20,2024-10-01,Bengaluru,Travel,Agent,Unknown,56.0,10709.0,86101.0,1.0,68.0,5.0,0,286.0,8.040059762816323,74.0
CL253386,2024-08-09,2024-10-01,Chennai,Motor,Partner,Bike,39.0,7073.0,63306.0,1.0,255.0,2.0,1,53.0,8.950374664216033,258.0
CL192172,2024-05-28,2024-10-01,Jaipur,Health,Website,Unknown,30.0,8940.0,57709.0,0.0,25.0,3.0,0,126.0,6.455145413870246,28.0
CL174314,2024-07-27,2025-12-03,Ahmedabad,Travel,Website,Unknown,41.0,5541.0,46461.0,0.0,46.0,3.0,0,494.0,8.384948565240931,49.0
CL160208,2024-10-01,2025-05-28,Pune,Motor,App,Car,40.0,15331.0,0.0,1.0,205.0,4.0,1,239.0,0.0,210.0
CL215297,2024-10-01,2025-07-06,Bengaluru,Home,App,Unknown,24.0,4397.0,5068.0,0.0,88.0,6.0,1,278.0,1.1526040482146918,94.0
CL156022,2024-10-01,2025-06-12,Kolkata,Motor,Partner,Car,18.0,8639.0,15058.0,0.0,178.0,5.0,1,254.0,1.743025813172821,183.0
CL134768,2024-09-17,2024-10-01,Ahmedabad,Home,Agent,Unknown,43.0,3931.0,68058.0,0.0,322.0,5.0,1,14.0,17.313151869753245,327.0
CL206850,2024-01-06,2025-03-01,Delhi,Travel,App,Unknown,47.0,4024.0,82962.0,2.0,11.0,2.0,0,420.0,20.61679920477137,15.0
CL268069,2024-10-01,2025-03-03,Bengaluru,Travel,Partner,Unknown,40.0,3119.0,51954.0,0.0,0.0,2.0,1,153.0,16.657261942930425,2.0
CL112385,2024-02-23,2024-10-01,Jaipur,Health,Website,Unknown,18.0,5974.0,35641.0,0.0,193.0,1.0,1,221.0,5.966019417475728,194.0
CL058387,2023-11-06,2025-03-01,Kolkata,Home,Agent,Unknown,38.0,12720.0,105620.0,1.0,123.0,4.0,1,481.0,8.303459119496855,128.0
CL293912,2023-10-06,2024-02-02,Hyderabad,Home,Partner,Unknown,52.0,9907.0,0.0,0.0,0.0,2.0,0,119.0,0.0,2.0
CL105350,2024-10-01,2025-02-12,Hyderabad,Home,Website,Unknown,57.0,7270.0,64703.0,0.0,116.0,3.0,0,134.0,8.9,119.0
CL294244,2024-10-01,2025-11-05,Bengaluru,Health,Website,Unknown,20.0,12139.0,0.0,1.0,0.0,1.0,0,400.0,0.0,2.0
CL172559,2024-10-01,2025-06-08,Hyderabad,Health,App,Unknown,41.0,2255.0,84873.0,0.0,166.0,4.0,1,250.0,37.63769401330377,170.0
CL055576,2023-07-09,2024-05-25,Hyderabad,Travel,Partner,Unknown,36.0,7779.0,17530.0,1.0,248.0,1.0,1,321.0,2.25350302095385,250.0
CL116740,2024-07-08,2025-03-02,Hyderabad,Travel,Partner,Unknown,48.0,9625.0,0.0,2.0,171.0,5.0,1,237.0,0.0,178.0
CL102582,2023-12-15,2024-10-01,Kolkata,Health,Partner,Unknown,41.0,0.0,0.0,2.0,0.0,1.0,0,291.0,5.150936649828692,3.0
CL274727,2023-06-11,2025-04-05,Mumbai,Home,Partner,Unknown,19.0,3904.0,75529.0,0.0,72.0,2.0,1,664.0,19.34656762295082,74.0
CL006865,2025-03-04,2025-05-06,Jaipur,Home,App,Unknown,30.0,15075.0,41654.0,1.0,800.0,5.0,1,63.0,2.763117744610282,806.0
